userId	nickname	likedCount	content
282682013	今天佐鸣摔跤了吗	0	老了老了
500919615	江上月丶	0	以前买了下载了
332961933	别想了梦里什么都有	0	买也没有用的 杰伦说了 以后网易真的没有杰伦的歌了
580912064	周杰伦的小猫-	0	哈哈哈好听啦
624766922	他好喜歡你-像狗本性難移	0	哇，那年我才9岁，你个大叔
1529770752	低迷的中年大叔	0	已经这么富裕了，还要付费听歌。人品啊！！！我这该死的回忆，还是听求佛和秋天不回来吧，好歌多的是！！！
321715261	时间从不为人等候	0	他们以前买的下载
28552867	wowsnail	0	话说，没版权的歌他们是怎么评论的？？
1459825346	大老12138	6	万人血书求网易云买周杰伦的版权！！！！！
1600910666	少人多人	0	我的beyond歌单一定合各位真粉的胃口??????
569048026	越过山丘0728	1	然而时光又溜走了五年
278408658	这么晚了还踏麻不睡等着猝死吧	0	那鸡太美我不敢看
74886927	不吃肥yo	0	超爱这个前奏
1492487647	好起来的小天使	1	依林到底是没走出来，还是彻底看开了
302669321	江火渔舟	1	网易云的贫穷
265211685	生蕃	0	真佩有些人，戏真多，搞得他们好像是周杰伦和蔡依林肚子里的蛔虫一样
72339983	Alucart-魔理沙	1	周董这段史诗级的rap算是前无古人后无来者了
336157700	何llo	1	开始好好做自己，去喜欢自己喜欢的她，好好学习[爱心]加油哟
285636519	我是一个卒子	0	赚钱就会做
419655999	siusiu的小隔间	0	哈哈哈
432626179	梦醉离	0	好可惜。。这么多歌不能听了。。
360749872	哔哔啦啦耶	1	想到了被烧掉的巴黎圣母院
369703495	陳独璓	0	酷狗听都需要vip了，哎！垃圾
1732992067	Joker-Jia1901	0	小朋友，是03年。
1389428618	木槿花开小颖	0	那年我15岁
386170024	逸影少年	0	是我们老了。
382943564	嘘嘘嘻哈	2	网易云什么时候能听周董的歌啊？
1647119269	时光不散我们不老余生	0	因为是男女合唱
1647119269	时光不散我们不老余生	0	几年后吧
439393329	jaycomme	2	突然听到杰伦的声音，我还以为网易云有版权了，把我高兴的[撇嘴]
263867835	凌晨四点的弗洛伊德	0	北京申奥成功了??
1321022507	刘贤卿	0	回家路上，听见这首歌。04年确实诸神之战的一年，那时候还是读初中，
85037833	幽影蝠狼	0	布拉格没有布拉格广场，只有老城广场
626186269	乐乐会专心的	0	"以前把她不小心弄丢了现在找了她以后我发现她变了。变了越来越不像我认识的她了。也许不打扰真是保留的最后温柔吧！唉
"
122290942	五更琉璃猫酱	0	布拉伐晶格？
113450583	crawler_pn	1	小孩儿唱的最好听
607981111	湖南陈粒	0	醉了 叭叭叭个没完没了？非要来双j党这寻存在感？
528634895	liu歌狂	4	周杰伦的歌曲网易还没有权限？
120974919	寂静红尘	0	周杰伦一听我咋没想到呢
534920725	娜娜要热爱生活	0	您是当事人？还是您听了什么小道消息？谁给您说的？
70706645	_Chun_kit_	0	前卫
126692700	内地词作者卡夫	0	麻吉弟弟
126692700	内地词作者卡夫	0	男的
126692700	内地词作者卡夫	1	钟兴明大师
286717181	雅尼之声	0	是的，这周《一站到底》就有道题问这句歌词出自哪首歌，我刚看了这道题后，就立马过来验证一下。
442101819	戴珍珠耳环的少女啊	0	这个想法就过分了
368135108	落落控	0	就你话多
1439223983	srrsrrrr	0	蔡依林啊
328672242	一个想当英雄的小兵	0	咪咕，还不要钱
374834858	卡在树上	2	我在结账你在煮浓汤，可这不是故事最后的答案
130235601	香蕉你和不拿拿	0	波波吗
132139547	汝着品如衣----甚骚之	4	"哈哈哈小时候哭着哭着就笑了
我TM看你这么逗的评论笑着笑着就想哭"
1404757762	嘿一朵小花哇	4	没人喜欢最后一段歌词描写的意境吗：安静小巷一家咖啡馆 我在结账你在煮浓汤 这是故事最后的答案。
443025150	徐承庆	0	我没有你这么刁的耳朵，我只知道我就喜欢周杰伦的歌
431504769	0422Andy	1	没有我你真的不习惯，我在自欺欺人吧
2485519	流光好溢彩	2	原价660出一张26日的plus票，北京可送票上门，外地可包个顺丰，要的私信~
65293929	Beautiful丶Melody	5	网易云 什么时候才有杰伦歌的版权？
301643642	斯烈仂	1	这首居然没下架
1611981088	温文尔雅柳大大	0	我的意思我想听周杰伦的歌，点进去变成蔡的了。
1365238362	Invisibleoo	0	就喜欢那个小朋友唱的。
